categories_list,FinanceSub,CapitalSub,ProcurementSub,LegalSub,ManufacturingSub,MarketingSub,MentoringSub,NetworkingSub,PlanningSub,RDSub,RegulatorySub,SpaceSub,HRSub,industries_list,communities_list
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Contract Review,"","Bid Matching and Preparation,Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Graphic Design,HUBZone Certification,Market Plan Development and Training,Market Research,Obtaining Corporate Contracts",Peer Mentoring,"Demographically Based,Geographically Based","","","","","","Agriculture,Construction,Energy & Utilities,Fiance & Insurance,Not for Profit,Other Services,Professional Services","Asian,Hispanic,Native American,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,Lease Review,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Competitive Analysis,Feasibility Studies,Graphic Design,Locating Foreign Distributors,Networking/Exploring Exporting,Subcontracting Opportunities,Website Development",Peer Mentoring,"Geographically Based,Industry Specific,Networking/Exploring Exporting,Small Business/General","","","","","","Arts,Fiance & Insurance,Management,Manufacturing,Real Estate,Tourism,Transportation & Warehousing",NOT TARGETED
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Lease Review,Patent, Trademark, & Copyright Information,Tax Credits","","Call Center Services,Competitive Analysis,Graphic Design,Import/Export Certification and Licensing,Locating Foreign Distributors,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Subcontracting Opportunities,Website Development",Formal Mentoring Programs,"Demographically Based,Industry Specific,Small Business/General","","","","","","Agriculture,Construction,Fiance & Insurance,Information Technology,Manufacturing,Not for Profit,Retail,Wholesale","Immigrant,LGBTQ,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Insurance Requirements,State and Federal Tax Training and Registration,Tax Credits","","HUBZone Certification,Networking/Exploring Exporting,Obtaining Government Contracts,Student Research/Marketing Projects,Website Development","",Small Business/General,"","","","","","Agriculture,Arts,Construction,Energy & Utilities,Manufacturing,Restaurant & Hotel,Transportation & Warehousing","African American,Immigrant,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Insurance Requirements,Registration, Licenses, & Permits,State and Federal Tax Training and Registration,Tax Credits","","Bid Matching and Preparation,Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,Import/Export Certification and Licensing,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Subcontracting Opportunities",Peer Mentoring,"Industry Specific,Small Business/General","","","","","","Energy & Utilities,Fiance & Insurance,Health & Childcare,High Tech Services & Manufacturing,Information Technology,Management,Other Services,Tourism,Transportation & Warehousing","African American,Asian,Immigrant,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Insurance Requirements,State and Federal Tax Training and Registration","","Call Center Services,HUBZone Certification,International Trade Training,Market Research,Obtaining Corporate Contracts,Obtaining Government Contracts,Trade Education and Training","One-to-One Counseling,Peer Mentoring",Industry Specific,"","","","","","Construction,High Tech Services & Manufacturing,Management","Immigrant,LGBTQ,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,International Regulatory Compliance,State and Federal Tax Training and Registration","","Call Center Services,Feasibility Studies,Graphic Design,HUBZone Certification,International Trade Training,Locating Foreign Distributors,Obtaining Corporate Contracts,Obtaining Government Contracts,Selling to Foreign Governments and Businesses","Formal Mentoring Programs,One-to-One Counseling","Demographically Based,Small Business/General","","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Education,Information Technology,Management,Not for Profit,Restaurant & Hotel,Wholesale","Asian,Hispanic,LGBTQ,Other,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Government Requirements,Insurance Requirements,International Regulatory Compliance,Registration, Licenses, & Permits","","Bid Matching and Preparation,Competitive Analysis,Feasibility Studies,International Trade Training,Networking/Exploring Exporting,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Subcontracting Opportunities,Trade Education and Training",Formal Mentoring Programs,"Demographically Based,Small Business/General","","","","","","Biosciences Services and Manufacturing,Management,Other Services,Personal Services,Restaurant & Hotel","Asian,Native American,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Insurance Requirements,Tax Credits","","Competitive Analysis,Feasibility Studies,Graphic Design,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Subcontracting Opportunities","","Demographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Energy & Utilities,Health & Childcare,High Tech Services & Manufacturing,Management,Not for Profit,Other Services,Personal Services,Professional Services,Real Estate,Tourism","Asian,Native American,Other,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,International Regulatory Compliance,Tax Credits","","Call Center Services,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Research,Subcontracting Opportunities,Website Development",Formal Mentoring Programs,"Demographically Based,Geographically Based,Small Business/General","","","","","","Agriculture,Arts,Education,High Tech Services & Manufacturing,Management,Real Estate,Restaurant & Hotel,Wholesale","African American,Native American,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Lease Review,State and Federal Tax Training and Registration","","Call Center Services,Graphic Design,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Plan Development and Training,Obtaining Corporate Contracts,Website Development",One-to-One Counseling,"Demographically Based,Small Business/General","","","","","","Agriculture,Information Technology,Management,Not for Profit,Professional Services,Retail,Tourism","African American,Immigrant,LGBTQ,Other,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,Lease Review,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Call Center Services,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Market Plan Development and Training,Market Research,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Subcontracting Opportunities,Website Development","","Demographically Based,Industry Specific","","","","","","Education,Fiance & Insurance,Restaurant & Hotel,Retail,Tourism,Transportation & Warehousing,Wholesale","African American,LGBTQ,Veteran,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Call Center Services,Feasibility Studies,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Research,Selling to Foreign Governments and Businesses","",Small Business/General,"","","","","","High Tech Services & Manufacturing,Not for Profit,Professional Services,Real Estate,Restaurant & Hotel,Retail,Transportation & Warehousing,Wholesale","African American,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Environmental Compliance,"","Call Center Services,Feasibility Studies,HUBZone Certification,International Trade Training,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Website Development","Formal Mentoring Programs,One-to-One Counseling",Demographically Based,"","","","","","Agriculture,Arts,Education,Information Technology,Manufacturing,Restaurant & Hotel,Tourism,Transportation & Warehousing","Asian,Immigrant,Native American"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Lease Review,Patent, Trademark, & Copyright Information","","Feasibility Studies,HUBZone Certification,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Website Development","Formal Mentoring Programs,Peer Mentoring","Industry Specific,Small Business/General","","","","","","Agriculture,Energy & Utilities,Fiance & Insurance,Manufacturing,Not for Profit,Personal Services,Wholesale","Native American,Other,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Insurance Requirements,International Regulatory Compliance,Tax Credits","","Call Center Services,Feasibility Studies,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Market Plan Development and Training,Selling to Foreign Governments and Businesses,Website Development","","Demographically Based,Geographically Based","","","","","","Agriculture,Arts,Energy & Utilities,Manufacturing,Not for Profit,Professional Services,Restaurant & Hotel,Tourism,Transportation & Warehousing","Hispanic,Immigrant,LGBTQ,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Government Requirements,International Regulatory Compliance,State and Federal Tax Training and Registration,Tax Credits","","Call Center Services,Competitive Analysis,Graphic Design,Market Research,Obtaining Corporate Contracts",Formal Mentoring Programs,"Networking/Exploring Exporting,Small Business/General","","","","","","Arts,Biosciences Services and Manufacturing,Not for Profit,Other Services,Personal Services,Real Estate","Asian,Other,Veteran,Ex-Convict"
